i1	0.852
i35545	0.000
i21778	0.000
i18158	0.000
i2	-0.687
i35547	0.000
i18160	0.000
i21779	0.000
i18162	0.000
i35548	0.000
i21780	0.000
i18163	0.000
i35549	0.000
i21781	-1.833
i21782	-2.667
i18164	0.000
i18165	0.000
i21783	-2.667
i21784	0.000
i9	0.990
i18167	-2.533
i21785	-0.290
i18168	0.442
i35550	0.000
i10	0.000
i18169	1.700
i21787	0.000
i18171	2.667
i13	-0.988
i21788	0.000
i18172	0.000
i21789	0.000
i35552	0.000
i15	0.000
i18175	2.457
i16	0.000
i35553	0.000
i18176	-2.457
i21791	0.000
i17	0.000
i18177	0.000
i21792	0.000
i20	0.000
i21793	0.306
i18179	-0.307
i22	0.568
i18181	-0.500
i21794	-0.259
i24	0.000
i18184	-2.633
i25	0.375
i18185	0.000
i21795	0.000
i27	0.000
i18186	-1.383
i18187	0.000
i21797	-0.665
i29	0.000
i21798	-0.331
i18190	0.000
i21799	-1.224
i21800	-0.330
i21801	0.000
i18193	0.000
i21803	-0.754
i35561	0.000
i18194	0.311
i35	0.000
i21804	-0.619
i18195	-0.226
i21805	0.000
i37	0.000
i35562	-0.386
i18196	0.000
i38	-0.442
i18197	0.308
i21806	0.000
i39	0.000
i21808	0.000
i21809	0.000
i41	0.000
i18198	0.370
i42	0.000
i43	0.000
i21812	-0.333
i18199	0.373
i44	2.162
i21813	0.000
i45	0.000
i21814	0.000
i46	-0.290
i21815	0.000
i18202	1.333
i18203	0.000
i18204	0.812
i47	-1.970
i18205	-1.333
i48	-0.745
i21819	0.000
i18207	0.336
i49	-0.745
i50	-1.300
i18208	0.000
i18210	0.000
i18211	2.071
i51	-1.660
i52	-1.364
i18212	-2.070
i21821	-1.653
i21822	-1.571
i54	-0.391
i55	0.744
i21826	0.000
i56	0.000
i21827	-1.000
i18217	0.340
i57	2.146
i21829	-2.560
i18218	0.000
i21831	1.315
i18219	0.000
i59	0.505
i21832	-1.208
i18220	0.000
i21833	-0.707
i18221	0.800
i21834	-1.469
i61	0.372
i18223	2.192
i62	0.954
i18224	-2.192
i21836	0.000
i21837	-0.952
i18225	0.236
i21838	0.000
i64	1.295
i21839	0.000
i21840	0.000
i65	0.534
i18228	1.360
i18229	0.399
i18230	0.000
i67	1.037
i21842	-0.495
i18231	1.333
i35563	-1.098
i18232	1.333
i21843	0.000
i18233	-1.333
i21844	-1.333
i70	0.000
i71	1.894
i18234	2.667
i18235	-0.983
i72	-2.667
i73	0.466
i18236	0.000
i74	0.815
i75	1.497
i21848	-0.766
i76	0.000
i21849	0.000
i77	0.000
i18238	-0.867
i21850	0.000
i78	-0.605
i79	0.000
i21852	-0.877
i18240	-2.667
i35564	0.000
i18241	-4.000
i21853	0.000
i81	-1.600
i18242	0.000
i18243	0.000
i83	1.600
i84	-0.365
i21856	0.000
i18244	0.000
i18245	0.000
i85	0.000
i21857	0.000
i18246	0.000
i86	0.000
i18248	0.000
i21859	0.000
i18249	0.000
i88	-0.284
i18250	0.000
i21860	0.000
i89	-2.507
i18251	0.000
i35566	0.000
i90	0.000
i18252	0.000
i21861	0.000
i21862	0.000
i18253	0.000
i91	0.000
i18254	0.000
i35567	0.676
i93	0.285
i18255	0.000
i21864	-2.587
i94	0.000
i21865	-1.481
i95	0.000
i21866	0.000
i18258	0.000
i21867	0.000
i97	-1.360
i18260	0.000
i21869	-0.755
i18262	0.000
i99	1.022
i21870	1.722
i18263	0.000
i21871	0.000
i100	1.018
i18264	0.000
i35570	0.434
i101	-1.218
i21873	-1.282
i18265	0.000
i103	1.081
i21874	0.000
i18266	0.000
i35572	0.000
i21876	0.000
i18267	0.000
i104	1.894
i21877	0.000
i18268	0.000
i106	0.000
i21878	0.868
i35573	0.000
i18271	0.000
i21879	-0.949
i18273	0.000
i35575	0.339
i110	1.081
i111	-1.081
i21881	0.000
i18276	-0.400
i21882	-1.276
